Column Name,Description,Type
pin,Parcel Identification Number (PIN),Plain Text
tax_year,Tax year,Number
class,Property class,Plain Text
township_code,Township code,Plain Text
township_name,Township name,Plain Text
mailed_bldg,Assessor mailed building value,Number
mailed_land,Assessor mailed land value,Number
mailed_tot,Assessor mailed total value,Number
certified_bldg,Assessor certified building value,Number
certified_land,Assessor certified land value,Number
certified_tot,Assessor certified total value,Number
board_bldg,Board of Review certified building value,Number
board_land,Board of Review certified land value,Number
board_tot,Board of Review certified total value,Number
