township_code,origoid,township_name
72,38,Lake
21,43,Lyons
71,44,Jefferson
10,6,Barrington
15,36,Cicero
28,4,Orland
31,3,Proviso
22,16,Maine
70,11,Hyde Park
37,39,Thornton
23,8,New Trier
27,32,Oak Park
13,41,Bremen
29,1,Palatine
20,20,Leyden
35,23,Schaumburg
12,28,Bloom
39,15,Worth
25,7,Northfield
38,2,Wheeling
11,35,Berwyn
32,42,Rich
18,26,Hanover
16,40,Elk Grove
76,29,South Chicago
17,12,Evanston
77,31,West Chicago
73,24,Lake View
24,13,Niles
14,14,Calumet
36,34,Stickney
34,37,Riverside
30,18,Palos
74,27,North Chicago
26,10,Norwood Park
19,25,Lemont
33,17,River Forest
75,5,Rogers Park
